iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:P19465	process	10	10.4.10.3	19465	Monitor site for duration of time required by regulators	ex:ActOfMonitoring		An Act of Monitoring that observes an abandoned site for the duration required by regulators and produces a site status report documenting its condition.
ex:P19507	process	1	1.3.5	19507	Execute strategic initiatives	cco:ont00000228		A Planned Act that implements the connected activities prescribed by a strategic-initiative specification in order to make the strategy work.
ex:P19551	process	4	4.1.1.8	19551	Define standard operating procedures	ex:ActOfFormulation		An Act of Formulation that has as output a standard operating procedure prescribing methods to be followed routinely for designated operations.
ex:P19555	process	4	4.1.5.3	19555	Determine product storage facility requirements	cco:ont00000636		An Act of Appraisal that evaluates the constraints, needs, parameters, and conditions for physical storage and retrieval in a storage facility and produces a st
ex:P19558	process	4	4.1.6.4	19558	Establish storage management constraints	ex:ActOfFormulation		An Act of Formulation that has as output a distribution planning constraint specification governing physical storage and retrieval in a storage facility.
ex:P19563	process	4	4.3.1.1	19563	Model and simulate plant	ex:ActOfFormulation		An Act of Formulation that produces a production network model of plant facilities enabling optimization and comparison of production alternatives.
ex:P19566	process	4	4.3.2.5	19566	Monitor and optimize production process	ex:ActOfMonitoring		An Act of Monitoring that integrates production resources and oversees the running production process, producing a production state report on its current state 
ex:P19567	process	4	4.3.2.5.1	19567	Automate and control plant	ex:ActOfProcessControl		An Act of Process Control that applies automation technology to monitor and control plant production and delivery by regulating the controlled production equipm
ex:P19568	process	4	4.3.2.5.2	19568	Perform advanced process control	ex:ActOfProcessControl		An Act of Process Control that applies advanced process-control techniques to reduce process variation and identify improvement options for incorporation into p
ex:P19569	process	4	4.3.2.5.3	19569	Perform real-time optimization	ex:ActOfProcessControl		An Act of Process Control that runs closed-loop, model-based real-time optimization of process performance, detecting and eliminating errors and modifying the r
ex:P19570	process	4	4.3.2.5.4	19570	Manage plant alarms and alerts	ex:ActOfMonitoring		An Act of Monitoring that handles and tunes plant alarms and alerts to surface abnormal process conditions reliably.
ex:P19575	process	9	9.7.5.2.1	19575	Manage interest rate market data	ex:ActOfMonitoring		An Act of Monitoring that collects and stores interest-rate market data and has as output a market rate data record.
ex:P19576	process	9	9.7.5.2.2	19576	Determine interest rate exposure for all markets	ex:ActOfAnalysis		An Act of Analysis that has as input market rate data and has as output a financial risk assessment of interest-rate exposure across markets.
ex:P19577	process	9	9.7.5.2.3	19577	Determine interest rate hedge requirements in accordance with risk policy	ex:ActOfSelection		An Act of Selection that has as input a financial risk assessment and a financial policy and has as output a hedge requirement specification for interest-rate e
ex:P19578	process	9	9.7.5.2.4	19578	Execute interest rate trades	ex:ActOfFinancialTransaction		An Act of Financial Transaction in which interest-rate instruments are traded to implement a hedge.
ex:P19579	process	9	9.7.5.3.1	19579	Manage foreign exchange market data	ex:ActOfMonitoring		An Act of Monitoring that handles and processes foreign-exchange rate data and has as output a market rate data record.
ex:P19580	process	9	9.7.5.3.2	19580	Determine foreign exchange exposure for all currencies	ex:ActOfAnalysis		An Act of Analysis that has as input market rate data and has as output a financial risk assessment of foreign-exchange exposure across currencies.
ex:P19581	process	9	9.7.5.3.3	19581	Determine foreign exchange hedge requirements in accordance with risk policy	ex:ActOfSelection		An Act of Selection that has as input a financial risk assessment and a financial policy and has as output a hedge requirement specification for foreign-exchang
ex:P19582	process	9	9.7.5.3.4	19582	Execute foreign exchange trades	ex:ActOfFinancialTransaction		An Act of Financial Transaction in which currencies are bought, sold, or exchanged in the foreign-exchange market.
ex:P19583	process	9	9.7.5.3.5	19583	Manage foreign exchange balance sheet risk	ex:ActOfMonitoring		An Act of Monitoring that oversees the foreign-exchange balance sheet and has as output a financial risk assessment of translation and settlement risk.
ex:P19584	process	9	9.7.5.4.1	19584	Determine current customer exposures and limit exceptions	ex:ActOfAnalysis		An Act of Analysis that has as input risk exposure data and has as output a financial risk assessment describing current customer exposures and exceptions to ex
ex:P19585	process	9	9.7.5.4.2	19585	Resolve customer exposure limit violations	ex:ActOfSelection		An Act of Selection that has as input a financial risk assessment and has as output an exposure limit resolution prescribing the settlement of a limit violation
ex:P19586	process	9	9.7.5.4.3	19586	Manage customer collateral	ex:ActOfFinancialTransaction	req-role:ex:CustomerRole	An Act of Financial Transaction in which customer securities held as collateral are realized to recover unpaid loans, with the customer bearing a debtor role.
ex:P19587	process	9	9.7.5.4.4	19587	Perform annual customer credit reviews	cco:ont00000636	req-role:ex:CustomerRole	An Act of Appraisal that has as input a credit scoring history and has as output a credit assessment about a customer.
ex:P19588	process	9	9.7.5.5.1	19588	Measure physical positions	cco:ont00000636		An Act of Appraisal that has as output a financial risk assessment of the physical positions held to offset opposing-market risk.
ex:P19589	process	9	9.7.5.5.2	19589	Establish hedges	ex:ActOfSelection		An Act of Selection that determines which hedge options to execute and produces a hedge selection decision prescribing the chosen option(s).
ex:P19590	process	9	9.7.5.5.3	19590	Unwind hedges	ex:ActOfFinancialTransaction		An Act of Financial Transaction in which an open hedging position is closed out or derivatives are settled early.
ex:P19593	process	9	9.11.4	19593	Perform currency conversion	ex:ActOfAnalysis		An Act of Analysis that examines market rate data to convert a monetary amount from a foreign currency to the local monetary unit, producing a currency conversi
ex:P19595	process	11	11.2.2.7	19595	Compile and communicate compliance scorecard(s)	ex:ActOfReporting	req-cap:ex:RegulatoryComplianceManagementCapability	An Act of Reporting that compiles compliance metrics into a graphical representation and conveys it to stakeholders, producing a compliance scorecard.
ex:P19596	process	11	11.2.2.8	19596	Compile and communicate internal and regulatory compliance reports	cco:ont00000151;cco:ont00000228	req-cap:ex:RegulatoryComplianceManagementCapability	An Act of Reporting that submits an already-compiled compliance report to internal stakeholders and regulatory agencies, giving them a detailed account of the o
ex:P19646	process	2	2.1.2.5.1	19646	Carry out post launch analytics to test the acceptability in the market	ex:ActOfAnalysis		An Act of Analysis that has as input product/service performance data and has as output a market acceptance analysis of user engagement and post-launch market p
ex:P19647	process	2	2.1.2.5.4	19647	Apply data and analytics to review supply chain methodologies	ex:ActOfAnalysis		An Act of Analysis that has as input supply chain performance data and has as output a supply chain methodology analysis correlating gaps and efficiencies acros
ex:P19669	process	2	2.2.2	19669	Generate new product/service concepts	ex:ActOfFormulation		An Act of Formulation that produces and defines concepts for new product or service offerings.
ex:P19697	process	2	2.1.3.4	19697	Define product technical documentation management requirements	ex:ActOfFormulation		An Act of Formulation that has as output a product/service requirement specification prescribing the sourcing and capability requirements for managing new-produ
ex:P19698	process	2	2.2	19698	Generate and define new product/service ideas	ex:ActOfFormulation		An Act of Formulation that conceives and articulates new product or service ideas in light of organizational objectives and produces one or more product/service
ex:P19941	process	2	2.1.3.1	19941	Conduct mandatory and elective reviews	cco:ont00000636		An Act of Appraisal that has as output a regulatory review judging the enforcement of intellectual-property protection processes.
ex:P19945	process	1	1.1.1.1	19945	Analyze competitors	ex:ActOfAnalysis	req-cap:ex:CompetitiveAnalysisCapability;req-role:ex:CompetitiveIntelligenceAnalystRole	An Act of Analysis that has as input competitor data and has as output a competitor analysis about one or more competitors.
ex:P19946	process	1	1.1.2.2	19946	Capture customer needs and wants	ex:ActOfIdentification		An Act of Identification that has as input customer feedback and has as output a customer needs assessment registering customers' wants and needs.
ex:P19947	process	1	1.1.2.3	19947	Assess customer needs and wants	ex:ActOfIdentification		An Act of Identification that discerns and characterizes groups of customers who benefit from an organization's products or services and produces a customer pro
ex:P19948	process	1	1.1.3.2	19948	Analyze internal operations	ex:ActOfAnalysis		An Act of Analysis that has as input internal-capability data and has as output an internal-operations analysis measuring the effectiveness of operational eleme
ex:P19949	process	1	1.1.4.1	19949	Define the strategic vision	cco:ont00000511	req-cap:ex:StrategicPlanningCapability	An Act of Planning that has as output a strategic vision documenting the goals, direction, and activities that define an organization's vision.
ex:P19950	process	1	1.2.3.5	19950	Develop global support strategy	ex:ActOfFormulation		An Act of Formulation that composes a plan to deploy support services globally and produces a business strategy for global support.
ex:P19951	process	1	1.2.3.6	19951	Develop shared services strategy	ex:ActOfFormulation		An Act of Formulation that charts a plan to leverage internal shared services and produces a business strategy for shared services.
ex:P19952	process	1	1.2.3.4	19952	Develop innovation strategy	ex:ActOfFormulation		An Act of Formulation that composes a plan and roadmap to advance technology and products and produces a business strategy for innovation.
ex:P19953	process	1	1.2.6.1	19953	Identify organizational objectives	ex:ActOfFormulation		An Act of Formulation that creates strategic objectives outlining expected outcomes for the organization and produces organizational objectives.
ex:P19954	process	1	1.2.6.2	19954	Establish baseline metrics	ex:ActOfFormulation		An Act of Formulation that establishes baseline metrics and KPIs as standards for assessing performance and produces a set of performance metrics.
ex:P19955	process	1	1.2.6.3	19955	Monitor performance against objective	ex:ActOfFormulation		An Act of Formulation that defines the methodology and frequency for measuring and monitoring the performance of functions, processes, and activities against se
ex:P19956	process	1	1.2.7.1	19956	Analyze business unit strategies	cco:ont00000636		An Act of Appraisal that assesses a business unit's performance against organizational goals using predefined metrics and produces a performance report.
ex:P19957	process	1	1.2.7.2	19957	Identify core competency for each business unit	ex:ActOfIdentification		An Act of Identification that discerns the resources and skills constituting each business unit's core competency and produces a core competency analysis.
ex:P19958	process	1	1.2.7.3	19958	Refine business unit strategies in support of organizational strategy	ex:ActOfFormulation		An Act of Formulation that reformulates an existing business-unit strategy in light of the enterprise strategy, pruning and re-considering its resources and ele
ex:P19959	process	1	1.2.8	19959	Develop customer experience strategy	ex:ActOfFormulation	req-cap:ex:CustomerExperienceManagementCapability	An Act of Formulation that defines a roadmap to meet customer expectations and produces a customer experience roadmap.
ex:P19960	process	1	1.2.8.1	19960	Assess customer experience	cco:ont00000636	req-cap:ex:CustomerExperienceManagementCapability	An Act of Appraisal that measures customer feedback on product and service effectiveness and produces a customer experience assessment.
ex:P19961	process	1	1.2.8.1.1	19961	Identify and review customer touchpoints	ex:ActOfIdentification		An Act of Identification that discerns and reviews the customer touchpoints relevant to a product or service and produces a customer touchpoint inventory.
ex:P19962	process	1	1.2.8.1.2	19962	Assess customer experience across touchpoints	cco:ont00000636		An Act of Appraisal that evaluates customer experiences and gaps across all touchpoints in the relationship lifecycle and produces a customer experience assessm
ex:P19963	process	1	1.2.8.1.3	19963	Perform root cause analysis of problematic customer experiences	ex:ActOfAnalysis		An Act of Analysis that examines the core reasons behind problematic customer experiences and produces a root cause analysis.
ex:P19964	process	1	1.2.8.2	19964	Design customer experience	ex:ActOfFormulation	req-cap:ex:CustomerExperienceManagementCapability	An Act of Formulation that designs how customers interact with the business from captured customer data and produces a customer experience roadmap.
ex:P19965	process	1	1.2.8.2.2	19965	Create customer journey maps	ex:ActOfAnalysis		An Act of Analysis that traces the customer's experience from initial contact through long-term relationship and produces a customer journey map.
ex:P19966	process	1	1.2.8.2.3	19966	Define single view of the customer for the organization	ex:ActOfFormulation		An Act of Formulation that defines the parameters for an aggregated, holistic representation of customer data and produces a customer profile specification.
ex:P19967	process	1	1.2.8.2.4	19967	Define a vision for the customer experience	ex:ActOfFormulation		An Act of Formulation that establishes a direction and vision for how the organization behaves toward customers and produces a strategic vision for the customer
ex:P19968	process	1	1.2.8.2.5	19968	Validate with customers	cco:ont00000636		An Act of Appraisal that tests the assumptions underpinning the business model against customer reality and produces a customer experience assessment.
ex:P19969	process	1	1.2.8.2.6	19969	Align experience with brand values and business strategies	ex:ActOfFormulation		An Act of Formulation that aligns the customer experience with the brand's value proposition and business strategies and produces a customer experience roadmap.
ex:P19970	process	1	1.2.8.2.7	19970	Develop content strategy	ex:ActOfFormulation		An Act of Formulation that plans the creation, delivery, and governance of content and produces a business strategy for content.
ex:P19971	process	1	1.2.8.3	19971	Design customer experience support structure	ex:ActOfFormulation	req-cap:ex:CustomerExperienceManagementCapability	An Act of Formulation that designs the support structure for customer experience with an approach, process flow, and timeframe and produces a customer experienc
ex:P19972	process	1	1.2.8.3.1	19972	Identify required capabilities	ex:ActOfIdentification		An Act of Identification that discerns the skills and competencies required to operate the customer-experience support structure and produces a required capabil
ex:P19973	process	1	1.2.8.3.2	19973	Identify impact on functional processes	ex:ActOfIdentification		An Act of Identification that discerns the impact of the customer-experience support structure on other customer-service functions and produces a customer exper
ex:P19974	process	1	1.2.8.4	19974	Develop customer experience roadmap to develop and implement defined capabilities	ex:ActOfFormulation		An Act of Formulation that defines the guideline, behaviors, and talent needed to implement the customer-experience capabilities and produces a customer experie
ex:P19975	process	1	1.3.1.1	19975	Identify strategic priorities	cco:ont00000636		An Act of Appraisal that ranks the organization's strategic objectives by their importance in achieving the strategic goals and produces a statement of strategi
ex:P19976	process	1	1.3.1.2	19976	Develop strategic initiatives based on business/customer value	ex:ActOfFormulation		An Act of Formulation that composes strategic initiatives grounded in what is considered value to the customer or the business and produces a strategic-initiati
ex:P19977	process	1	1.3.1.3	19977	Review with stakeholders	cco:ont00000636	req-role:ex:StakeholderRole	An Act of Appraisal that evaluates an organization's business objectives and strategies and reports the resulting strategy review to stakeholders through struct
ex:P19978	process	1	1.3.2.1	19978	Determine business value for each strategic priority	cco:ont00000636		An Act of Appraisal that judges the business worth of each strategic priority against a standard measure of value and produces a business-value assessment.
ex:P19979	process	1	1.3.2.2	19979	Determine the customer value for each strategic priority	cco:ont00000636		An Act of Appraisal that judges the value a customer derives from the offerings tied to each strategic priority and produces a customer value assessment.
ex:P19980	process	1	1.3.3.1	19980	Prioritize strategic initiatives	cco:ont00000636		An Act of Appraisal that judges strategic initiatives by importance and produces a prioritized initiative list ordering them from most to least important.
ex:P19981	process	1	1.3.3.2	19981	Communicate strategic initiatives to business units and stakeholders	ex:ActOfFormulation		An Act of Formulation that establishes the procedures and roadmap for communicating the selected strategic initiatives to business units and stakeholders and pr
ex:P19982	process	1	1.3.4.1	19982	Identify business value drivers	ex:ActOfIdentification		An Act of Identification that discerns the key operational, financial, and sustainability indicators responsible for driving business value and produces a regis
ex:P19983	process	1	1.3.4.2	19983	Establish baselines for business value drivers	ex:ActOfAnalysis		An Act of Analysis that has as input the business value drivers and has as output business-value-driver baselines derived as reference standards for assessing l
ex:P19984	process	1	1.3.4.3	19984	Monitor performance against baselines	cco:ont00000228;cco:ont00000345		An Act of Measuring that determines actual performance of activities against the established business-value-driver baselines and produces a performance record.
ex:P19986	process	2	2.2.2.1	19986	Gather new product/service ideas and requirements	ex:ActOfAcquisition		An Act of Acquisition that obtains and assembles the product/service ideas, documents, and regulatory requirements not previously held, for use in concept gener
ex:P19987	process	2	2.2.2.2	19987	Analyze new product/service ideas and requirements	ex:ActOfAnalysis		An Act of Analysis that examines collected product/service ideas and requirements and produces an understanding of their suitability.
ex:P19988	process	2	2.2.2.3	19988	Evaluate new product/service inputs and requirements	cco:ont00000636		An Act of Appraisal that judges the required inputs and necessary elements for a new product or service and produces a feasibility assessment.
ex:P19989	process	2	2.2.2.4	19989	Formulate new product/service concepts	ex:ActOfFormulation		An Act of Formulation that devises the ideas and elements of a new product or service and produces a product/service concept.
ex:P19990	process	2	2.2.3	19990	Define product/service development requirements	ex:ActOfFormulation		An Act of Formulation that identifies and captures the requirements governing development of a new product or service and produces a product/service requirement
ex:P19991	process	2	2.2.3.1.1	19991	Define basic functional requirements	ex:ActOfFormulation		An Act of Formulation that determines the functional operations required of a product or service and produces a product/service requirement specification.
ex:P19992	process	2	2.2.3.1.7	19992	Develop user experience requirements	ex:ActOfFormulation		An Act of Formulation that determines the steps and tools needed to shape the user experience of a product or service and produces a product/service requirement
ex:P19993	process	2	2.3.1	19993	Design and prototype products and services	ex:ActOfDevelopment		An Act of Development that designs and prototypes products and services in light of market data, producing a design specification (informational output) and bui
ex:P19994	process	2	2.3.1.1.1	19994	Identify requirements for product/service design/development partners	ex:ActOfFormulation		An Act of Formulation that determines the essential requirements for design and development collaborators and produces a partner requirement specification.
ex:P19995	process	2	2.3.1.8	19995	Design products/services	ex:ActOfDesign	req-cap:ex:DesignCapability	An Act of Design that creates a customer-focused sketch and design of a product or service and produces a design specification.
ex:P19996	process	2	2.3.2	19996	Test market for new or revised products and services	ex:ActOfAnalysis		An Act of Analysis that tests the market against new or revised offerings and produces a market study used to finalize product/service characteristics and techn
ex:P19997	process	2	2.3.3	19997	Prepare for production/service delivery	ex:ActOfDevelopment		An Act of Development that devises and installs the plans, procedures, equipment, and processes needed to produce and deliver an organization's new products and
ex:P19998	process	2	2.3.3.5	19998	Validate launch procedures	ex:ActOfVerification		An Act of Verification that checks the measures, processes, and techniques involved in introducing a product or service and produces a feasibility assessment of
ex:P19999	process	3	3.2.2.3	19999	Establish pricing targets	ex:ActOfFormulation		An Act of Formulation that determines optimum target prices for individual offerings and produces pricing targets.
ex:P20000	process	3	3.2.3	20000	Define and manage channel strategy	ex:ActOfFormulation		An Act of Formulation that identifies and selects the appropriate marketing channels for each customer segment and produces a channel strategy.
ex:P20001	process	3	3.2.3.1	20001	Determine channels to be supported	ex:ActOfSelection		An Act of Selection that chooses, from the available distributors, wholesalers, and retailers, the intermediaries the company will use and produces a channel se
ex:P20002	process	3	3.2.3.2	20002	Establish channel objectives	ex:ActOfFormulation		An Act of Formulation that specifies the role each chosen channel plays in the distribution network and produces channel requirements covering those roles and i
ex:P20003	process	3	3.2.3.5	20003	Identify required channel capabilities	ex:ActOfFormulation		An Act of Formulation that determines the throughput and adaptability a distribution channel must provide and produces channel requirements.
ex:P20004	process	3	3.2.3.7	20004	Orchestrate seamless customer experience across supported channels	ex:ActOfFormulation		An Act of Formulation that coordinates marketing and distribution across channels into an integrated, uniform customer experience and produces an omni-channel s
ex:P20005	process	3	3.2.3.8	20005	Develop and manage execution roadmap	ex:ActOfFormulation		An Act of Formulation that determines the actions, ordering, timing, and governance for multichannel marketing and produces an execution roadmap.
ex:P20007	process	3	3.2.6.1	20007	Define customer loyalty program	ex:ActOfFormulation		An Act of Formulation that devises the procedures and reward mechanisms to retain customers and promote repeat business and produces a customer loyalty program 
ex:P20009	process	3	3.3.3.1	20009	Understand resource requirements for each product/service and delivery channel/method	ex:ActOfAnalysis	req-cap:ex:PricingCapability	An Act of Analysis that has as input cost data and produces a cost analysis of the production and distribution resource requirements per offering and channel.
ex:P20011	process	3	3.5.1.6	20011	Manage opportunity pipeline	ex:ActOfMonitoring		An Act of Monitoring that has as input sales leads and observes the state of the new-customer-acquisition pipeline against expected progress.
ex:P20012	process	3	3.5.1.8.3	20012	Manage customer meetings/workshops	cco:ont00000402;cco:ont00000228	req-role:ex:SalesProfessionalRole	An Act of Communication in which sales personnel arrange and lead meetings, seminars, or workshops to educate customers about an organization's offerings.
ex:P20013	process	3	3.5.2.1	20013	Select key customers/accounts	ex:ActOfSelection		An Act of Selection that has as input customer data and chooses, from among an organization's customers, the principal accounts to prioritize.
ex:P20014	process	3	3.5.2.3	20014	Manage sales/key account plan	ex:ActOfMonitoring		An Act of Monitoring that executes and tracks a key-account plan against its expected outcomes.
ex:P20015	process	3	3.5.3.7	20015	Develop solution and delivery approach	ex:ActOfFormulation		An Act of Formulation that has as output an execution roadmap prescribing the detailed steps to produce and deliver a proposed solution.
ex:P20016	process	3	3.5.3.11	20016	Manage internal reviews	ex:ActOfMonitoring		An Act of Monitoring that observes and tracks the internal review of a proposal against its expected completion.
ex:P20017	process	3	3.5.3.12	20017	Manage internal approvals	ex:ActOfAcquisition		An Act of Acquisition in which an organization obtains the internal authorizations required to submit a proposal.
ex:P20018	process	3	3.5.3.14	20018	Revise bid/proposal/quote	ex:ActOfFormulation		An Act of Formulation that has as input a sales proposal and has as output a revised sales proposal with more accurate time, cost, or delivery estimates.
ex:P20019	process	3	3.5.5.1.1	20019	Provide certification enablement training	cco:ont00000402;cco:ont00000228		An Act of Communication that delivers certification-enablement training to sales partners and has as output sales training material.
ex:P20020	process	3	3.5.5.1.2	20020	Manage certifications and skills	cco:ont00000366		An Act of Information Processing that reviews, processes, and issues partner certifications and accredits skills and competencies.
ex:P20021	process	3	3.5.5.1.3	20021	Provide support to partners/alliances	cco:ont00000402;cco:ont00000228	req-role:ex:SalesPartnerRole	An Act of Communication in which an organization provides support to its sales partners and strategic alliances.
ex:P20023	process	4	4.1.4.1	20023	Model production network to enable simulation and optimization	ex:ActOfFormulation		An Act of Formulation that has as output a production network model providing the sequential-flow and capacity-requirement framework among materials, resources,
ex:P20024	process	4	4.1.4.2	20024	Create master production schedule	ex:ActOfScheduling		An Act of Scheduling that has as input a consensus demand forecast and has as output a master production schedule for production, inventory, and staffing.
ex:P20026	process	5	5.1	20026	Establish service delivery governance and strategies	ex:ActOfFormulation	req-cap:ex:ServiceDeliveryGovernanceCapability	An Act of Formulation that establishes the governance and strategies for service delivery by standing up service delivery governance and developing the service 
ex:P20027	process	5	5.1.1	20027	Establish service delivery governance	ex:ActOfFormulation	req-cap:ex:ServiceDeliveryDevelopmentManagementCapability,ex:ServiceDeliveryGovernanceCapability,ex:ServiceDeliveryPerformanceManagementCapability	An Act of Formulation that establishes service delivery governance by standing up a system to manage delivery performance, development, and direction and to gat
ex:P20031	process	5	5.1.1.4	20031	Solicit feedback from customer on service delivery satisfaction	cco:ont00000636	req-role:ex:CustomerRole	An Act of Appraisal that engages the customer after delivery to gauge the effectiveness of services rendered and produces a service delivery satisfaction assess
ex:P20032	process	5	5.1.2	20032	Develop service delivery strategies	ex:ActOfFormulation		An Act of Formulation that constructs an organization's service delivery strategies, defining the goals, policies, processes, and workplace layout that govern h
ex:P20033	process	5	5.1.2.1	20033	Define service delivery goals	ex:ActOfFormulation		An Act of Formulation that aligns organizational practice to customer needs by composing the service delivery goals an organization sets for itself.
ex:P20034	process	5	5.1.2.2	20034	Define labor policies	ex:ActOfFormulation		An Act of Formulation that outlines an organization's labor policies for its delivery resources so as to satisfy the needs of the organization, the customer, an
ex:P20035	process	5	5.1.2.3	20035	Evaluate resource availability	cco:ont00000636		An Act of Appraisal that judges the availability of the resources required to meet customer needs and produces a resource availability assessment.
ex:P20036	process	5	5.1.2.4	20036	Define service delivery network and supply constraints	ex:ActOfAnalysis		An Act of Analysis that identifies and examines the limitations imposed upon an organization's service delivery network and supply and produces a supply constra
ex:P20037	process	5	5.1.2.5	20037	Define service delivery process	ex:ActOfFormulation		An Act of Formulation that composes the policies and procedures focused on meeting customer needs and expectations within the organization's working parameters,
ex:P20038	process	5	5.1.2.6	20038	Review and validate service delivery procedures	cco:ont00000636		An Act of Appraisal that reviews and validates existing service delivery procedures against performance parameters and produces a service delivery review identi
ex:P20039	process	5	5.1.2.7	20039	Define service delivery workplace layout and infrastructure	ex:ActOfFormulation		An Act of Formulation that designs a service delivery workplace best serving the needs of the organization and customer, yielding a workplace layout plan for it
ex:P20040	process	5	5.2	20040	Manage service delivery resources	cco:ont00000511		An Act of Planning that understands the demands placed on service delivery resources and produces a resource plan enabling those resources to deliver services.
ex:P20041	process	5	5.2.1	20041	Manage service delivery resource demand	ex:ActOfAnalysis	req-cap:ex:DemandForecastingCapability	An Act of Analysis that monitors opportunity pipeline and demand signals and produces a consensus demand forecast for service delivery resources.
ex:P20042	process	5	5.2.1.1	20042	Monitor pipeline	ex:ActOfMonitoring		An Act of Monitoring that has as input opportunity pipeline data and has as output a pipeline status assessment of opportunities moving through the pipeline.
ex:P20043	process	5	5.2.1.2	20043	Develop baseline forecasts	ex:ActOfForecasting	req-cap:ex:DemandForecastingCapability	An Act of Forecasting that has as input historical demand data and market environment data and has as output a demand forecast for the organization's services.
ex:P20044	process	5	5.2.1.3	20044	Collaborate with customers	ex:ActOfAnalysis	req-role:ex:CustomerRole	An Act of Analysis that engages a customer in a collaborative meeting to elicit and understand the scope of their needs and has as output a customer-needs analy
ex:P20045	process	5	5.2.1.4	20045	Develop consensus forecast	ex:ActOfForecasting	req-cap:ex:DemandForecastingCapability	An Act of Forecasting that has as input a demand forecast and customer feedback and has as output a consensus demand forecast.
ex:P20046	process	5	5.2.1.5	20046	Determine availability of skills to deliver on current and forecast customer orders	ex:ActOfAnalysis		An Act of Analysis that has as input a demand forecast and has as output a resource availability assessment of the skills available to deliver on current and fo
ex:P20047	process	5	5.2.1.6	20047	Monitor activity against forecast and revise forecast	ex:ActOfMonitoring		An Act of Monitoring that has as input a consensus demand forecast and has as output a revised demand forecast reflecting observed delivery activity and emergin
ex:P20048	process	5	5.2.1.7	20048	Evaluate and revise forecasting approach	ex:ActOfAnalysis		An Act of Analysis that has as input a forecast accuracy assessment and has as output a revised demand forecast that better aligns the forecasting approach with
ex:P20049	process	5	5.2.1.8	20049	Measure forecast accuracy	ex:ActOfAnalysis		An Act of Analysis that has as input a demand forecast and has as output a forecast accuracy assessment determined by comparing the forecast against actuals.
ex:P20050	process	5	5.2.2	20050	Create and manage resource plan	ex:ActOfFormulation	req-cap:ex:ResourceManagementCapability	An Act of Formulation that aligns resource demand with capacity, skills, and capabilities and has as output a resource plan.
ex:P20051	process	5	5.2.2.1	20051	Define and manage skills taxonomy	ex:ActOfAnalysis		An Act of Analysis that has as input customer requirements and has as output a skills taxonomy classifying and organizing the skills needed to deliver services.
ex:P20052	process	5	5.2.2.2	20052	Create resource plan	ex:ActOfFormulation		An Act of Formulation that has as input a resource availability assessment and has as output a resource plan ensuring all resources are available to carry out r
ex:P20053	process	5	5.2.2.3	20053	Match resource demand with capacity, skills, and capabilities	ex:ActOfAnalysis		An Act of Analysis that has as input a demand forecast and has as output a resource availability assessment matching demand against capacity, skills, and capabi
ex:P20054	process	5	5.2.2.4	20054	Collaborate with suppliers and partners to supplement skills and capabilities	ex:ActOfAcquisition	req-role:ex:DeliveryPartnerRole,ex:SupplierRole	An Act of Acquisition that obtains from suppliers and delivery partners the resources, skills, and capabilities needed to supplement gaps in an organization's o
ex:P20055	process	5	5.2.2.5	20055	Identify critical resources and supplier capacity	ex:ActOfIdentification		An Act of Identification that has as input customer requirements and has as output a supply constraint analysis registering the critical resources required and 
ex:P20056	process	5	5.2.2.6	20056	Monitor and manage resource capacity and availability	ex:ActOfMonitoring	req-cap:ex:ResourceManagementCapability	An Act of Monitoring that has as input a resource plan and has as output a resource availability assessment confirming that resources are at capacity and availa
ex:P20057	process	5	5.2.3.6	20057	Perform skill and capability testing	cco:ont00000636	req-role:ex:ServiceDeliveryPersonnelRole	An Act of Appraisal that administers a test and has as output a skills and capability test result judging whether training was successful through testing and pr
ex:P20058	process	5	5.3	20058	Deliver service to customer	ex:ActOfServiceProvision	req-cap:ex:ServiceDeliveryCapability	An Act of Service Provision that renders a service to a customer by initiating, executing, and completing the tasks associated with service delivery.
ex:P20059	process	5	5.3.1	20059	Initiate service delivery	ex:ActOfServiceProvision	req-cap:ex:ServiceDeliveryCapability	An Act of Service Provision that initiates a service delivery by reviewing scope with the customer, confirming readiness, and identifying, selecting, and assign
ex:P20060	process	5	5.3.1.1	20060	Review contract and agreed terms	cco:ont00000636	req-role:ex:CustomerRole	An Act of Appraisal that has as input a service-delivery contract and has as output a contract-terms review of its terms, and has the customer as participant.
ex:P20061	process	5	5.3.1.2	20061	Understand customer requirements and define refine approach	ex:ActOfFormulation		An Act of Formulation that has as input customer requirements and has as output a service-delivery process specification expressing a refined service approach.
ex:P20062	process	5	5.3.1.3	20062	Modify/revise and approve project plan	ex:ActOfFormulation		An Act of Formulation that has as output an updated and approved project plan aligned with the agreed solution approach.
ex:P20063	process	5	5.3.1.4	20063	Review customer business objectives	ex:ActOfAnalysis		An Act of Analysis that has as input customer business objectives and has as output an objective-alignment assessment relating them to the agreed solution.
ex:P20064	process	5	5.3.1.5	20064	Confirm environmental readiness	cco:ont00000636		An Act of Appraisal that has as output an environmental-readiness confirmation that the organization holds the resources needed for the solution.
ex:P20065	process	5	5.3.1.6	20065	Identify, select, and assign resources	ex:ActOfSelection	req-role:ex:ServiceDeliveryPersonnelRole	An Act of Selection that chooses and assigns the resources required to deliver a service and has as output a resource plan.
ex:P20066	process	5	5.3.1.6.1	20066	Establish people objectives	ex:ActOfFormulation		An Act of Formulation that has as output people objectives prescribing the plan of action and goals for the workforce.
